FG time = 2229	BG time = 483.026
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000448632	0
55	0.00852401	0.00207028
65	0.0520414	0
75	0.131449	0.00621085
85	0.188426	0.00828114
95	0.235083	0.0103514
105	0.261104	0.00621085
115	0.274114	0.0124217
125	0.303275	0.00621085
135	0.328848	0.00207028
145	0.330642	0.00621085
155	0.337372	0.00621085
165	0.340063	0.00414057
175	0.3607	0
185	0.358906	0.00207028
195	0.362495	0.0103514
205	0.363841	0.00621085
215	0.387618	0
225	0.3773	0
235	0.383132	0
245	0.362495	0.00414057
255	0.373711	0.00621085
265	0.375505	0.00207028
275	0.372365	0
285	0.379543	0.00207028
295	0.3607	0.00414057
305	0.360252	0.00621085
315	0.3607	0.00207028
325	0.35756	0
335	0.353074	0.00207028
345	0.331988	0.00207028
355	0.312248	0.00414057
365	0.338269	0.00207028
375	0.301481	0
385	0.296995	0
395	0.307313	0.00207028
405	0.308659	0
415	0.280395	0
425	0.266039	0
435	0.258861	0.00207028
445	0.257066	0.00207028
455	0.247196	0
465	0.250337	0.00207028
475	0.224316	0.00207028
485	0.235083	0.00414057
495	0.210857	0
505	0.20323	0.00207028
515	0.191117	0.00207028
525	0.174518	0
535	0.174069	0.00207028
545	0.15433	0.00207028
555	0.131001	0.00414057
565	0.139525	0.00207028
575	0.132347	0.00207028
585	0.129655	0.00414057
595	0.123823	0
605	0.0937642	0.00414057
615	0.0928669	0.00414057
625	0.0816511	0.00207028
635	0.0758189	0
645	0.0749216	0
655	0.0668462	0
665	0.0605654	0.00414057
675	0.0520414	0.00414057
685	0.0376851	0
695	0.0399283	0.00621085
705	0.0394796	0.00207028
715	0.0323015	0
725	0.0224316	0.00207028
735	0.025572	0.00207028
745	0.0197398	0
755	0.0121131	0
765	0.0103185	0.00207028
775	0.00717812	0.00207028
785	0.00942128	0.00207028
795	0.0013459	0
805	0.00538359	0
815	0.00358906	0.00207028
825	0.00628085	0.00207028
835	0.00448632	0
845	0.00224316	0.00414057
855	0.00179453	0
865	0.00314043	0.00414057
875	0.00583222	0.00414057
885	0.00224316	0.00207028
895	0.00403769	0.00414057
905	0.00224316	0.00207028
915	0.00224316	0.00207028
925	0.00179453	0.00414057
935	0.000897265	0.00414057
945	0.00179453	0.00207028
955	0.00448632	0.00207028
965	0.00224316	0
975	0.0013459	0.00207028
985	0.0013459	0.00207028
995	0.00179453	0
1005	0.00224316	0.00414057
1015	0.0013459	0
1025	0.0013459	0
1035	0.00403769	0.00207028
1045	0.00179453	0.00414057
1055	0.00224316	0
1065	0.0013459	0
1075	0.0013459	0.00414057
1085	0.00358906	0.00414057
1095	0.00358906	0
1105	0.00224316	0.00207028
1115	0.00448632	0.00207028
1125	0.00224316	0
1135	0.0013459	0.00414057
1145	0.00224316	0.00414057
1155	0.00179453	0
1165	0.00403769	0.00207028
1175	0.00269179	0
1185	0.00269179	0.00207028
1195	0.000448632	0
