18617 Ce 38.3543 39.1413 30.7279 41.8424 31.2164 37.2052 30.808 36.2132
18618 Ce 37.2907 38.1439 30.5546 39.0905 30.4139 34.9874 33.196 32.0525
18619 Ce 35.5535 37.839 31.4066 36.0378 31.9296 32.7809 32.4463 31.0748
18619 Sn 65.2808 70.1167 49.5641 76.7496 51.7185 65.0173 51.1041 64.4797
18620 Ce 34.1987 41.3956 34.1894 33.1694 32.7598 31.5596 31.9088 32.7244
18620 Sn 62.5212 64.9412 50.6672 68.819 50.1422 59.6058 52.8944 54.6328
18621 Ce 32.8467 43.5296 37.07 30.4046 35.5346 28.3442 29.3098 33.6211
18621 Sn 60.7688 64.0012 51.1667 61.7722 51.987 55.509 52.1647 51.8259
18622 Ce 33.8813 45.3585 39.3552 29.4845 37.083 27.5305 30.1794 34.4098
18622 Sn 60.4124 71.2132 54.6145 54.9404 53.5063 49.8329 52.8664 53.5722
18622 Bi1 115.461 121.595 92.687 125.661 94.4524 109.974 97.8109 105.446
18622 Bi2 90.7644 92.4649 80.3502 95.3775 80.8329 86.4889 81.9717 85.906
18623 Ce 38.7797 51.316 41.7303 27.8641 38.2973 26.972 33.1142 32.8732
18623 Sn 57.2135 76.1415 60.1748 48.7757 57.1825 44.6148 51.1285 55.6341
18623 Bi1 112.447 122.03 92.2202 112.441 93.3851 103.722 99.0952 101.596
18623 Bi2 89.109 93.2675 80.9578 88.4221 79.983 85.4499 81.7811 83.6128
18624 Sn 57.377 81.5196 66.9037 45.9595 61.2728 42.5108 51.6439 56.0833
18624 Bi1 110.047 124.707 97.8303 103.185 96.9023 95.6418 98.6425 99.4403
18624 Bi2 86.8162 95.2711 82.7076 84.627 80.4695 81.1104 81.3577 82.761
18625 Sn 62.8369 88.1541 71.1966 45.0568 63.8585 42.8424 52.4481 56.4921
18625 Bi1 105.211 133.084 105.718 96.5379 101.975 89.4954 96.0305 102.252
18625 Bi2 85.6584 99.3157 85.794 82.0342 83.5071 80.5279 80.6601 83.5021
18626 Bi1 104.385 140.716 116.611 90.5714 110.732 85.7942 94.2518 102.725
18626 Bi2 84.5397 101.967 91.4862 79.3637 86.6895 78.7017 80.8793 84.9952
18627 Bi1 110.107 152.37 125.812 88.8348 115.007 85.2082 95.2552 105.243
18627 Bi2 87.629 107.36 95.3377 77.6245 90.2803 77.8219 82.237 85.6179
18631 In 47.9564 49.0492 38.8755 55.3946 40.7926 47.4375 39.234 45.6154
18632 In 46.6222 47.2985 37.8486 50.4624 38.9944 44.7939 40.8536 40.8484
18633 In 44.3591 47.721 39.9671 46.5764 40.2988 41.8522 40.7707 39.0829
18634 In 44.6536 53.8878 41.4111 41.552 39.98 37.4716 39.3019 40.0996
18635 In 42.736 56.8116 45.1246 38.0212 43.0286 34.892 38.2876 41.8363
18636 In 43.0048 61.9598 51.4555 35.9332 46.1794 33.1165 37.9189 42.6144
18637 In 47.8685 66.9632 53.2335 34.6326 48.2644 33.6045 40.6581 43.1978
