19205 In 114.771 125.639
19206 In 116.406 126.779
19207 In 116.296 126.772
19208 In 115.701 127.479
19209 In 116.123 126.865
19210 In 115.733 126.724
19211 In 114.81 126.755
19218 In 122.714 118.5
19219 In 123.809 118.937
19220 In 124.67 119.646
19221 In 123.533 119.304
19222 In 123.049 119.72
19223 In 122.36 119.189
19228 Ce 78.2358 77.5724
19229 Ce 78.423 79.6587
19230 Ce 79.1531 78.6135
19230 Sn 311.864 313.12
19231 Ce 76.5333 79.8114
19231 Sn 312.514 315.605
19233 Ce 77.398 78.7669
19233 Sn 312.485 315.535
19233 Bi1 920.283 920.302
19233 Bi2 434.328 434.684
19234 Ce 77.3571 78.4063
19234 Sn 311.957 316.548
19234 Bi1 919.083 920.61
19234 Bi2 435.134 433.351
19235 Sn 311.582 315.447
19235 Bi1 919.978 920.384
19235 Bi2 432.53 432.359
19236 Sn 311.296 313.686
19236 Bi1 919.898 922.566
19236 Bi2 433.346 433.751
19237 Bi1 919.839 921.77
19237 Bi2 434.618 434.814
19238 Bi1 919.535 920.472
19238 Bi2 431.587 434.513
