19203 1 1 1 1 1 1 1 1
19204 1 1 1 1 1 1 1 1
19205 1 1 1 1 1 1 1 1
19206 1 1 1 1 1 1 1 1
19207 1 1 1 1 1 1 1 1
19208 1 1 1 1 1 1 1 1
19209 1 1 1 1 1 1 1 1
19210 1 1 1 1 1 1 1 1
19211 1 1 1 1 1 1 1 1
19212 1 1 1 1 1 1 1 1
19213 1 1 1 1 1 1 1 1
19214 1 1 1 1 1 1 1 1
19216 1 1 1 1 1 1 1 1
19217 1 1 1 1 1 1 1 1
19218 1 1 1 1 1 1 1 1
19219 1 1 1 1 1 1 1 1
19220 1 1 1 1 1 1 1 1
19221 1 1 1 1 1 1 1 1
19222 1 1 1 1 1 1 1 1
19223 1 1 1 1 1 1 1 1
19224 1 1 1 1 1 1 1 1
19225 1 1 1 1 1 1 1 1
19226 1 1 1 1 1 1 1 1
19228 1 1 1 1 1 1 1 1
19229 1 1 1 1 1 1 1 1
19230 1 1 1 1 1 1 1 1
19231 1 1 1 1 1 1 1 1
19232 1 1 1 1 1 1 1 1
19233 1 1 1 1 1 1 1 1
19234 1 1 1 1 1 1 1 1
19235 1 1 1 1 1 1 1 1
19236 1 1 1 1 1 1 1 1
19237 1 1 1 1 1 1 1 1
19238 1 1 1 1 1 1 1 1
