17871 98.2 103.51 98.6041 
17872 98.2 102.104 92.4062 
17873 98.2 102.319 96.5753 
17873 331.2 338.415 329.465 
17874 98.2 101.865 96.2061 
17874 331.2 337.128 330.208 
17875 98.2 102.368 97.0813 
17875 331.2 327.138 331.837 
17876 98.2 102.73 96.749 
17876 331.2 330.944 330.856 
17876 928 919.575 912.025 
17877 98.2 104.401 95.8225 
17877 331.2 284.047 337.549 
17877 928 910.541 918.57 
17878 331.2 328.34 336.858 
17878 928 908.036 926.781 
17879 331.2 325.997 335.812 
17879 928 902.829 937.153 
17880 928 903.645 942.064 
17881 928 901.373 941.833 
17887 928 903.646 941.262 
17888 928 904.245 942.92 
17889 331.2 329.955 337.65 
17889 928 903.181 936.715 
17890 331.2 334.569 340.014 
17890 928 911.701 927.882 
17892 98.2 105.802 97.9027 
17892 331.2 327.972 335.975 
17892 928 912.167 916.169 
17893 98.2 102.325 98.082 
17893 331.2 333.908 334.8 
17893 928 923.386 911.408 
17894 98.2 101.374 97.5426 
17894 331.2 331.164 332.016 
17894 928 933.956 917.482 
17895 98.2 102.76 97.0322 
17895 331.2 334.704 329.436 
17896 98.2 101.295 97.7399 
17896 331.2 335.518 328.86 
17897 98.2 103.503 98.1118 
17898 98.2 102.787 98.6808 
17899 98.2 101.482 97.0803 
17900 98.2 101.464 99.0842 
17901 98.2 101.415 97.5789 
17901 331.2 335.464 329.513 
17902 98.2 102.756 98.7119 
17902 331.2 331 332.813 
17903 98.2 101.903 98.1953 
17903 331.2 333.711 333.206 
17903 928 928.613 914.423 
17904 98.2 103.21 97.9889 
17904 331.2 331.853 333.175 
17904 928 915.804 914.562 
17905 331.2 329.526 339.615 
17905 928 911.388 927.597 
17906 331.2 333.389 338.56 
17906 928 907.504 927.692 
17907 331.2 321.781 331.933 
17907 928 903.313 943.564 
17908 928 902.628 940.894 
17909 928 898.359 929.214 
17913 928 900.763 940.901 
17914 928 900.066 942.865 
17915 331.2 330.98 337.91 
17915 928 905.651 931.793 
17916 331.2 324.434 336.981 
17916 928 908.831 923.901 
17917 98.2 103.573 97.6079 
17917 331.2 328.515 336.373 
17917 928 911.466 915.907 
17918 98.2 102.2 97.1119 
17918 331.2 328.835 331.049 
17918 928 926.893 910.491 
17919 98.2 101.329 97.6663 
17919 331.2 331.533 330.921 
17920 98.2 101.151 96.8436 
17920 331.2 338.245 327.596 
17921 98.2 102.229 96.5333 
17922 98.2 101.723 96.4014 
