19825 In 114.545 125.913
19826 In 115.984 127.508
19827 In 117.349 127.416
19828 In 115.953 127.419
19829 In 115.942 127.661
19830 In 116.162 127.509
19831 In 117.308 128.146
19832 In 115.16 127.657
19833 In 114.764 127.63
19834 In 76.7595 128.253
19843 In 121.767 119.795
19844 In 122.691 120.188
19845 In 124.439 120.448
19846 In 123.92 120.56
19847 In 122.227 118.726
19848 In 122.824 119.54
19849 In 123.326 119.989
19853 Ce 76.3009 80.664
19854 Ce 77.1344 79.2226
19855 Ce 77.0939 80.5424
19855 Sn 311.262 315.849
19856 Ce 76.6433 79.7199
19856 Sn 311.403 316.328
19857 Ce 78.6029 80.5878
19857 Sn 312.258 315.921
19857 Bi1 917.659 921.742
19857 Bi2 434.537 437.599
19858 Ce 76.1321 80.7553
19858 Sn 311.829 316.099
19858 Bi1 919.392 922.367
19858 Bi2 433.393 436.084
19859 Ce 76.4886 80.4635
19859 Sn 311.925 316.83
19859 Bi1 920.54 923.612
19859 Bi2 433.616 435.633
19860 Sn 310.48 316.166
19860 Bi1 919.486 923.024
19860 Bi2 433.415 436.61
19861 Sn 310.491 316.963
19861 Bi1 919.719 922.82
19861 Bi2 433.728 437.729
19862 Bi1 919.117 923.499
19862 Bi2 434.109 435.004
19863 Bi1 918.021 922.91
19863 Bi2 432.286 437.619
