19853 80.5 104.519 68.6538 68.1731 67.6452 107.148 91.9035 93.0428 179.078
19854 80.5 100.688 65.9428 67.2319 67.778 106.042 91.2652 91.0969 176.901
19855 80.5 106.754 67.4048 67.9647 70.6302 105.704 89.4915 90.3571 171.662
19855 317.8 457.445 285.151 283.302 299.487 387.519 310.666 332.806 668.33
19856 80.5 104.781 62.4216 66.9592 67.8063 106.773 91.9314 91.1772 178.644
19856 317.8 458.886 285.024 287.495 309.08 381.829 309.194 320.628 680.268
19857 80.5 104.788 65.9791 67.0779 67.3997 108.696 91.3607 90.9716 162.13
19857 317.8 452.198 288.587 287.072 298.071 382.152 316.853 324.328 630.494
19857 926.0 1380.3 840.997 839.904 918.617 1111.4 870.122 961.148 1815.3
19858 80.5 105.817 63.8217 65.3417 70.0564 110.465 91.8941 94.6105 179.795
19858 317.8 451.537 285.601 288.573 290.529 382.387 322.412 322.167 646.707
19858 926.0 1367.64 855.529 831.589 909.74 1098.37 866.485 913.496 1880.75
19859 80.5 112.042 69.3372 68.0824 69.4451 113.047 91.9484 94.9505 182.061
19859 317.8 457.43 301.049 295.148 288.96 384.301 326.32 330.782 636.552
19859 926.0 1365.58 865.158 839.822 886.906 1095.6 891.806 921.592 1839.62
19860 317.8 448.875 305.459 303.772 286.107 384.598 326.071 331.153 660.896
19860 926.0 1353.17 866.654 854.069 868.096 1096.99 904.784 922.874 1895.3
19861 317.8 474.943 313.979 309.49 287.054 374.604 323.068 330.932 641.716
19861 926.0 1341.38 882.915 877.104 854.497 1094.81 918.964 928.569 1873.68
19862 926.0 1342.43 901.93 900.625 840.03 1077.31 928.927 930.193 1844.18
19863 926.0 1392.83 921.88 927.812 849 1055.37 920.57 935.43 1839.93
