22437 Bi1 997.772 77.968 988.217 79.2628
22437 Bi2 498.704 63.4096 501.448 62.0576
22438 Bi1 998.418 71.5998 993.992 71.5597
22438 Bi2 500.726 60.2532 500.137 54.2144
22439 Bi1 1005.81 72.7379 1003.74 68.011
22439 Ce 130.689 25.5453 131.239 23.7022
22439 Bi2 504.116 62.6668 505.095 58.088
22440 Bi1 984.834 77.64 992.399 70.8775
22440 Ce 130.933 24.3392 130.748 23.2221
22440 Bi2 492.961 59.1857 500.148 56.1485
22441 Bi1 1013.4 77.3296 1001.41 62.6828
22441 Ce 130.57 25.4616 132.447 22.6383
22441 Sn 370.854 40.4222 374.512 37.6962
22441 Bi2 509.127 60.0247 506.357 55.1103
22442 Bi1 994.775 90.9458 997.599 60.9342
22442 Ce 128.009 25.6459 129.86 23.3622
22442 Sn 370.597 37.4001 365.381 35.7297
22442 Bi2 502.209 67.0406 502.624 53.6361
22443 Bi1 993.841 126.693 991.188 69.6244
22443 Ce 131.709 25.7802 131.916 22.4258
22443 Sn 375.142 39.2242 373.28 36.6758
22443 Bi2 504.626 79.0643 500.021 53.9432
22444 Ce 130.049 26.3033 131.928 22.2245
22444 Sn 368.868 39.4127 370.443 34.415
22445 Ce 131.355 28.7905 133.838 21.9551
22445 Sn 380.18 42.0704 379.55 34.5625
22446 Sn 368.544 43.6247 374.141 33.5781
22447 Sn 370.477 48.9391 375.462 34.3823
22454 In 170.73 32.0855 175.879 29.951
22455 In 179.57 31.7623 167.649 30.1354
22456 In 173.383 32.5922 178.694 29.6993
22457 In 177.609 32.8785 168.212 29.1288
22458 In 173.626 34.6622 179.442 29.5262
22459 In 176.92 34.4238 170.622 28.3662
22460 In 171.001 37.1121 179.405 29.0493
