18617 98.2 115.438 75.8522 68.3109 70.728 95.1331 79.3172 80.7528 184.602
18618 98.2 113.879 72.7984 67.1618 69.7946 91.8867 78.4966 76.5964 179.66
18619 98.2 111.206 70.1718 66.1474 65.4087 95.0602 84.3552 79.2228 187.16
18619 331.2 467.819 301.882 279.297 323.952 356.077 303.892 303.274 683.861
18620 98.2 109.803 70.9719 66.1988 62.5721 90.9563 85.5886 76.7872 179.307
18620 331.2 472.621 306.166 280.918 308.01 358 314.612 290.27 709.118
18621 98.2 108.595 74.5709 67.7308 63.5143 88.5016 86.7686 79.182 177.094
18621 331.2 459.53 302.015 274.506 283.041 359.983 331.601 301.15 719.355
18622 98.2 112.241 75.8179 68.7264 61.9444 88.5846 89.6828 81.432 179.966
18622 331.2 465.619 315.048 282.456 270.294 351.316 336.014 296.106 709.682
18622 928 1484.65 907.152 811.331 922.676 1045.71 915.429 862.336 2037.08
18623 98.2 118.98 77.7569 68.6819 61.6771 87.419 91.3979 78.0341 180.419
18623 331.2 463.275 316.93 290.458 258.657 349.009 348.947 307.049 709.673
18623 928 1459 915.913 814.417 852.62 1055.43 950.89 868.363 2065.11
18624 331.2 464.568 326.803 293.045 249.349 333.183 342.859 304.852 693.502
18624 928 1469.83 918.729 824.565 797.63 1030.1 972.528 867.564 2053.07
18625 331.2 475.222 334.469 294.629 250.243 335.131 352.963 305.603 704.775
18625 928 1422.07 954.719 852.125 774.105 1015.32 991.124 873.367 2051.54
18626 928 1419.73 959.397 869.626 742.677 981.173 1000.35 882.475 2037.11
18627 928 1461.67 1009.53 886.904 738.415 955.439 1004.61 874.668 2011.42
