17517 Ce 84.2592 77.4688 
17518 Ce 83.7036 75.2034 
17519 Ce 83.3946 79.6805 
17519 Sn 315.532 321.789 
17520 Ce 82.9754 78.6909 
17520 Sn 318.06 320.686 
17521 Ce 0.187777 78.5744 
17521 Sn 311.179 320.66 
17521 Bi1 901.22 906.746 
17521 Bi2 437.124 431.247 
17522 Ce 0.344202 79.007 
17522 Sn 320.004 316.616 
17522 Bi1 895.492 913.782 
17522 Bi2 429.487 431.225 
17523 Ce 1.52273e-05 79.1588 
17523 Sn 320.08 325.097 
17523 Bi1 897.503 927.977 
17523 Bi2 436.366 440.631 
17524 Sn 323.545 325.694 
17525 Sn 334.928 324.056 
17525 Bi1 930.561 939.07 
17525 Bi2 445.093 443.933 
17526 Bi1 939.803 947.341 
17526 Bi2 450.475 446.602 
17527 Bi1 960.445 935.304 
17527 Bi2 451.709 439.778 
