19205 In 125.145 136.728 
19206 In 124.555 130.097 
19207 In 126.811 127.714 
19208 In 126.011 129.42 
19209 In 124.987 128.326 
19210 In 124.883 129.93 
19211 In 125.784 131.505 
19218 In 132.015 122.883 
19219 In 133.26 121.497 
19220 In 131.104 119.779 
19221 In 135.109 121.696 
19222 In 132.301 122.305 
19223 In 130.872 122.309 
19228 Ce 83.6814 84.504 
19229 Ce 85.3634 79.7197 
19230 Ce 85.4052 77.9046 
19230 Sn 312.023 339.301 
19231 Ce 84.3533 78.8757 
19231 Sn 318.594 313.618 
19233 Ce 84.2798 82.388 
19233 Sn 321.234 315.328 
19233 Bi1 919.989 929.144 
19233 Bi2 438.506 433.837 
19234 Ce 0.00144108 81.5295 
19234 Sn 318.253 314.365 
19234 Bi1 921.091 922.288 
19234 Bi2 440.635 431.271 
19235 Sn 315.034 308.326 
19235 Bi1 917.791 922.686 
19235 Bi2 437.434 429.79 
19236 Sn 323.566 318.527 
19236 Bi1 923.987 920.089 
19236 Bi2 441.973 428.403 
19237 Bi1 917.172 923.175 
19237 Bi2 438.595 431.717 
19238 Bi1 925.943 929.228 
19238 Bi2 438.953 429.413 
